id,jahr,alter,kategoriealter,geschlecht,bsz,bszkat,bszkat2,smartphone-schlafen,smartphone-schlafen-kat,jung,jung-griffweite,verzicht,verzicht-kat,geldeinewoche,geldeinewochekat,nutzt-insta,informiert-yt,sorgen,sorgenkat,schutzkategorien,schutzmassnahmen,sorgen-schutz,whatsapp
167,2022,16,3,Maennlich,4h-5h,5,25,Ja,1,1,1,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
168,2022,16,3,Maennlich,2h-3h,3,9,Nein,4,1,2,Stimmt,1,50 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
169,2022,16,3,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,0,0,Stimmt eher,2,0,0,3,1
170,2022,15,2,Weiblich,3h-4h,4,16,Nein,4,1,2,Stimmt,1,ueber 100 CHF,3,1,0,Stimmt eher nicht,3,0,0,4,1
171,2022,16,3,Maennlich,3h-4h,4,16,eher Nein,3,1,2,Stimmt eher ,2,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,2,1,2,1
172,2022,16,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt,1,5 CHF,1,0,1,Stimmt eher,2,0,0,3,1
173,2022,35,6,Weiblich,Mehr als 5h,6,36,Ja,1,2,3,Stimmt eher nicht,3,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
174,2022,17,3,Maennlich,3h-4h,4,16,Ja,1,1,1,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,1,1,1,1
175,2022,16,3,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt eher,2,1,1,1,1
176,2022,17,3,Maennlich,2h-3h,3,9,eher Nein,3,1,2,Stimmt nicht,4,Wuerde ich auch gratis machen,0,1,1,Stimmt gar nicht,4,0,0,4,1
177,2022,16,3,Maennlich,Mehr als 5h,6,36,Ja,1,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt eher nicht,3,2,1,2,1
178,2022,16,3,Weiblich,2h-3h,3,9,Nein,4,1,2,Stimmt,1,100 CHF,2,1,0,Stimmt ganz,1,0,0,3,1
179,2022,17,3,Weiblich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher ,2,100 CHF,2,1,1,Stimmt gar nicht,4,2,1,2,1
180,2022,16,3,Weiblich,3h-4h,4,16,eher Ja,2,1,1,Stimmt,1,50 CHF,2,1,0,Stimmt eher,2,0,0,3,1
181,2022,18,4,Maennlich,Mehr als 5h,6,36,Ja,1,2,3,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,1,Stimmt eher,2,2,1,1,1
182,2022,17,3,Non-Binaer,3h-4h,4,16,eher Nein,3,1,2,Stimmt eher nicht,3,50 CHF,2,1,1,Stimmt eher,2,1,1,1,1
183,2022,16,3,Non-Binaer,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,100 CHF,2,1,0,Stimmt eher,2,0,0,3,1
184,2022,16,3,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt,1,20 CHF,1,0,1,Stimmt eher,2,1,1,1,2
185,2022,16,3,Weiblich,4h-5h,5,25,Ja,1,1,1,Stimmt,1,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
186,2022,17,3,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
187,2022,16,3,Weiblich,4h-5h,5,25,Ja,1,1,1,Stimmt eher nicht,3,50 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
188,2022,16,3,Weiblich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher ,2,100 CHF,2,1,1,Stimmt ganz,1,0,0,3,1
189,2022,16,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher ,2,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
190,2022,15,2,Weiblich,weniger als 1h,1,1,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,0,0,Stimmt eher,2,1,1,1,1
191,2022,17,3,Weiblich,4h-5h,5,25,eher Nein,3,1,2,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
192,2022,15,2,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,1,0,Stimmt eher,2,0,0,3,1
193,2022,55,6,Maennlich,1h-2h,2,4,Ja,1,2,3,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,2,1,2,1
194,2022,24,5,Weiblich,2h-3h,3,9,Ja,1,2,3,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher nicht,3,0,0,4,1
195,2022,16,3,Weiblich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,100 CHF,2,0,0,Stimmt eher,2,1,1,1,1
196,2022,14,2,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt ganz,1,1,1,1,1
197,2022,49,6,Weiblich,1h-2h,2,4,Nein,4,2,4,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt gar nicht,4,0,0,4,1
198,2023,14,2,Moechte nicht antworten,1h-2h,2,4,eher Ja,2,1,1,Stimmt eher nicht,3,50 CHF,2,0,0,Stimmt ganz,1,2,1,1,1
199,2023,15,2,Weiblich,2h-3h,3,9,Ja,1,1,1,Stimmt eher nicht,3,100 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
200,2023,15,2,Weiblich,1h-2h,2,4,eher Nein,3,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher nicht,3,1,1,2,1
201,2023,15,2,Maennlich,2h-3h,3,9,Nein,4,1,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,1,Stimmt eher nicht,3,2,1,2,1
202,2023,14,2,Weiblich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher nicht,3,0,0,4,1
203,2023,15,2,Weiblich,3h-4h,4,16,Nein,4,1,2,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
204,2023,16,3,Maennlich,1h-2h,2,4,Ja,1,1,1,Stimmt eher nicht,3,100 CHF,2,0,0,Stimmt eher nicht,3,1,1,2,1
205,2023,15,2,Maennlich,2h-3h,3,9,Nein,4,1,2,Stimmt eher ,2,50 CHF,2,1,0,Stimmt eher nicht,3,2,1,2,1
206,2023,32,6,Maennlich,Mehr als 5h,6,36,Ja,1,2,3,Stimmt,1,20 CHF,1,0,1,Stimmt eher,2,1,1,1,1
207,2023,15,2,Maennlich,4h-5h,5,25,eher Ja,2,1,1,Stimmt eher nicht,3,50 CHF,2,1,1,Stimmt gar nicht,4,1,1,2,1
208,2023,15,2,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt eher ,2,20 CHF,1,1,1,Stimmt eher nicht,3,2,1,2,1
209,2023,15,2,Weiblich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt gar nicht,4,0,0,4,1
210,2023,14,2,Weiblich,weniger als 1h,1,1,Nein,4,1,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,0,Stimmt eher nicht,3,0,0,4,1
211,2023,15,2,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher ,2,50 CHF,2,1,1,Stimmt eher,2,0,0,3,1
212,2023,14,2,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher ,2,20 CHF,1,1,1,Stimmt eher nicht,3,1,1,2,1
213,2023,15,2,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt eher nicht,3,ueber 100 CHF,3,0,0,Stimmt eher,2,0,0,3,1
214,2023,15,2,Maennlich,2h-3h,3,9,Nein,4,1,2,Stimmt,1,50 CHF,2,1,0,Stimmt eher,2,0,0,3,1
215,2023,14,2,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt eher ,2,ueber 100 CHF,3,1,0,Stimmt eher nicht,3,0,0,4,1
216,2023,14,2,Weiblich,3h-4h,4,16,Nein,4,1,2,Stimmt eher ,2,100 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
217,2023,16,3,Non-Binaer,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,50 CHF,2,1,0,Stimmt eher nicht,3,2,1,2,1
218,2023,17,3,Weiblich,1h-2h,2,4,Ja,1,1,1,Stimmt,1,ueber 100 CHF,3,1,0,Stimmt eher,2,1,1,1,1
219,2023,17,3,Weiblich,2h-3h,3,9,Nein,4,1,2,Stimmt eher ,2,ueber 100 CHF,3,1,0,Stimmt ganz,1,0,0,3,1
220,2023,17,3,Weiblich,2h-3h,3,9,Ja,1,1,1,Stimmt,1,ueber 100 CHF,3,1,0,Stimmt eher nicht,3,1,1,2,1
221,2023,16,3,Weiblich,3h-4h,4,16,eher Nein,3,1,2,Stimmt nicht,4,100 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
222,2023,16,3,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,1,1,1,1
223,2023,16,3,Weiblich,4h-5h,5,25,Ja,1,1,1,Stimmt eher ,2,100 CHF,2,1,0,Stimmt eher,2,1,1,1,1
224,2023,16,3,Weiblich,3h-4h,4,16,Nein,4,1,2,Stimmt,1,ueber 100 CHF,3,1,1,Stimmt gar nicht,4,1,1,2,1
225,2023,16,3,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
226,2023,16,3,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt eher nicht,3,2,1,2,1
227,2023,16,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
228,2023,17,3,Moechte nicht antworten,1h-2h,2,4,eher Ja,2,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,0,0,Stimmt ganz,1,1,1,1,1
229,2023,17,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt eher nicht,3,0,0,4,1
230,2023,16,3,Maennlich,3h-4h,4,16,Ja,1,1,1,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher,2,1,1,1,1
231,2023,16,3,Weiblich,Mehr als 5h,6,36,Ja,1,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
232,2023,17,3,Maennlich,4h-5h,5,25,eher Nein,3,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
233,2023,17,3,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher ,2,20 CHF,1,1,1,Stimmt eher nicht,3,0,0,4,1
234,2023,18,4,Weiblich,3h-4h,4,16,eher Ja,2,2,3,Stimmt eher nicht,3,50 CHF,2,1,1,Stimmt eher nicht,3,0,0,4,1
235,2023,16,3,Weiblich,4h-5h,5,25,Ja,1,1,1,Stimmt eher ,2,50 CHF,2,1,0,Stimmt eher,2,1,1,1,1
236,2023,17,3,Weiblich,4h-5h,5,25,Ja,1,1,1,Stimmt,1,ueber 100 CHF,3,1,0,Stimmt eher,2,2,1,1,1
237,2023,17,3,Non-Binaer,Mehr als 5h,6,36,eher Ja,2,1,1,Stimmt eher ,2,ueber 100 CHF,3,0,1,Stimmt eher,2,0,0,3,1
238,2023,17,3,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt eher ,2,50 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
239,2023,17,3,Weiblich,3h-4h,4,16,eher Ja,2,1,1,Stimmt,1,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
240,2023,16,3,Weiblich,4h-5h,5,25,Nein,4,1,2,Stimmt,1,100 CHF,2,1,0,Stimmt eher,2,0,0,3,1
241,2023,17,3,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt,1,20 CHF,1,1,1,Stimmt eher nicht,3,0,0,4,1
242,2023,16,3,Weiblich,Mehr als 5h,6,36,Ja,1,1,1,Stimmt nicht,4,ueber 100 CHF,3,1,0,Stimmt eher nicht,3,2,1,2,2
243,2023,16,3,Weiblich,2h-3h,3,9,Nein,4,1,2,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher nicht,3,0,0,4,1
244,2023,16,3,Weiblich,4h-5h,5,25,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
245,2023,18,4,Maennlich,1h-2h,2,4,eher Ja,2,2,3,Stimmt eher ,2,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
246,2023,17,3,Maennlich,Mehr als 5h,6,36,Ja,1,1,1,Stimmt nicht,4,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,1,1,2,1
247,2023,16,3,Maennlich,4h-5h,5,25,eher Ja,2,1,1,Stimmt eher nicht,3,50 CHF,2,0,1,Stimmt gar nicht,4,2,1,2,1
248,2023,15,2,Weiblich,2h-3h,3,9,Ja,1,1,1,Stimmt eher ,2,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
249,2023,16,3,Weiblich,3h-4h,4,16,Nein,4,1,2,Stimmt eher ,2,100 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
250,2023,16,3,Maennlich,4h-5h,5,25,Nein,4,1,2,Stimmt eher ,2,100 CHF,2,1,1,Stimmt eher,2,0,0,3,1
251,2023,17,3,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,0,Stimmt eher nicht,3,1,1,2,1
252,2023,16,3,Maennlich,1h-2h,2,4,Ja,1,1,1,Stimmt,1,50 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
253,2023,19,4,Weiblich,2h-3h,3,9,eher Ja,2,2,3,Stimmt eher ,2,100 CHF,2,0,1,Stimmt ganz,1,0,0,3,1
254,2023,16,3,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,1,0,Stimmt eher nicht,3,1,1,2,1
255,2023,18,4,Moechte nicht antworten,1h-2h,2,4,Ja,1,2,3,Stimmt eher ,2,ueber 100 CHF,3,1,1,Stimmt eher,2,0,0,3,1
256,2023,16,3,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,1,1,2,1
257,2023,20,5,Weiblich,weniger als 1h,1,1,eher Ja,2,2,3,Stimmt,1,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
258,2023,17,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt,1,100 CHF,2,1,1,Stimmt eher,2,0,0,3,1
259,2023,17,3,Non-Binaer,3h-4h,4,16,Ja,1,1,1,Stimmt eher ,2,ueber 100 CHF,3,1,0,Stimmt eher,2,1,1,1,1
260,2023,17,3,Maennlich,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,ueber 100 CHF,3,0,0,Stimmt eher nicht,3,2,1,2,1
261,2023,16,3,Maennlich,1h-2h,2,4,Nein,4,1,2,Stimmt,1,100 CHF,2,1,1,Stimmt eher nicht,3,1,1,2,1
262,2023,16,3,Maennlich,2h-3h,3,9,Ja,1,1,1,Stimmt,1,100 CHF,2,1,0,Stimmt eher nicht,3,2,1,2,1
263,2023,15,2,Weiblich,Mehr als 5h,6,36,Ja,1,1,1,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,0,0,4,1
264,2023,16,3,Maennlich,3h-4h,4,16,eher Ja,2,1,1,Stimmt eher ,2,ueber 100 CHF,3,0,0,Stimmt eher,2,2,1,1,2
265,2023,16,3,Maennlich,2h-3h,3,9,eher Nein,3,1,2,Stimmt eher ,2,100 CHF,2,1,0,Stimmt eher nicht,3,1,1,2,1
266,2023,16,3,Maennlich,4h-5h,5,25,Nein,4,1,2,Stimmt,1,ueber 100 CHF,3,0,1,Stimmt ganz,1,0,0,3,1
267,2023,16,3,Maennlich,2h-3h,3,9,Ja,1,1,1,Stimmt eher ,2,ueber 100 CHF,3,0,1,Stimmt eher nicht,3,2,1,2,1
268,2023,18,4,Maennlich,Mehr als 5h,6,36,Ja,1,2,3,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,1,1,2,1
269,2023,16,3,Maennlich,1h-2h,2,4,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,0,1,Stimmt eher,2,1,1,1,1
270,2023,19,4,Weiblich,1h-2h,2,4,Ja,1,2,3,Stimmt eher ,2,ueber 100 CHF,3,1,1,Stimmt eher nicht,3,1,1,2,1
271,2023,16,3,Weiblich,2h-3h,3,9,Nein,4,1,2,Stimmt eher ,2,ueber 100 CHF,3,1,1,Stimmt eher,2,1,1,1,1
272,2023,17,3,Non-Binaer,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,10 CHF,1,1,1,Stimmt eher nicht,3,0,0,4,1
273,2023,17,3,Weiblich,2h-3h,3,9,eher Ja,2,1,1,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,1,1,1,1
274,2023,16,3,Maennlich,4h-5h,5,25,Nein,4,1,2,Stimmt eher nicht,3,ueber 100 CHF,3,1,1,Stimmt eher,2,0,0,3,1
275,2023,16,3,Maennlich,2h-3h,3,9,Ja,1,1,1,Stimmt,1,10 CHF,1,0,1,Stimmt gar nicht,4,1,1,2,1
276,2023,14,2,Maennlich,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,Wuerde ich auch gratis machen,0,0,1,Stimmt eher nicht,3,1,1,2,1
277,2023,15,2,Maennlich,Mehr als 5h,6,36,eher Ja,2,1,1,Stimmt,1,ueber 100 CHF,3,0,0,Stimmt ganz,1,2,1,1,1
278,2023,16,3,Maennlich,3h-4h,4,16,Nein,4,1,2,Stimmt eher nicht,3,100 CHF,2,1,1,Stimmt eher nicht,3,0,0,4,1
279,2023,19,4,Maennlich,3h-4h,4,16,eher Nein,3,2,4,Stimmt eher nicht,3,ueber 100 CHF,3,0,1,Stimmt ganz,1,2,1,1,1
280,2023,16,3,Maennlich,2h-3h,3,9,eher Ja,2,1,1,Stimmt,1,10 CHF,1,1,0,Stimmt eher,2,0,0,3,1
281,2023,16,3,Weiblich,Mehr als 5h,6,36,Nein,4,1,2,Stimmt eher nicht,3,50 CHF,2,1,1,Stimmt eher nicht,3,0,0,4,1
282,2023,16,3,Weiblich,2h-3h,3,9,eher Nein,3,1,2,Stimmt eher ,2,Wuerde ich auch gratis machen,0,1,0,Stimmt eher,2,0,0,3,1
283,2023,15,2,Weiblich,Mehr als 5h,6,36,Nein,4,1,2,Stimmt eher nicht,3,100 CHF,2,1,0,Stimmt eher nicht,3,0,0,4,1
284,2023,17,3,Weiblich,3h-4h,4,16,Ja,1,1,1,Stimmt,1,100 CHF,2,1,1,Stimmt eher,2,1,1,1,1
285,2023,18,4,Weiblich,3h-4h,4,16,eher Ja,2,2,3,Stimmt,1,Wuerde ich auch gratis machen,0,1,1,Stimmt eher,2,1,1,1,1
